#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2026-01-09, 14:35:14
# Real time (s): 11823.350
# Live time (s): 11028.830
#
# Total counts:  59919795
#
# Left marker:  20 (4.751 keV)
# Right marker: 50 (12.067 keV)
# Counts:       1129086
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: -0.126274
#     A1: 0.243864
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
515	125.464	6177	0.560078
516	125.708	6144	0.557085
517	125.952	6134	0.556179
518	126.196	6456	0.585375
519	126.439	6368	0.577396
520	126.683	6451	0.584922
521	126.927	6213	0.563342
522	127.171	6301	0.571321
523	127.415	6147	0.557357
524	127.659	6144	0.557085
525	127.903	6154	0.557992
526	128.146	6020	0.545842
527	128.390	6026	0.546386
528	128.634	6023	0.546114
529	128.878	6034	0.547112
530	129.122	6158	0.558355
531	129.366	5967	0.541037
532	129.610	6099	0.553005
533	129.853	6140	0.556723
534	130.097	5923	0.537047
535	130.341	5967	0.541037
536	130.585	6045	0.548109
537	130.829	5992	0.543303
538	131.073	5989	0.543031
539	131.317	5952	0.539676
540	131.561	6060	0.549469
541	131.804	5984	0.542578
542	132.048	6109	0.553912
543	132.292	6152	0.557811
544	132.536	6059	0.549378
545	132.780	5984	0.542578
546	133.024	6029	0.546658
547	133.268	6039	0.547565
548	133.511	6024	0.546205
549	133.755	6052	0.548744
550	133.999	6187	0.560984
551	134.243	6208	0.562888
552	134.487	6390	0.579391
553	134.731	6618	0.600064
554	134.975	7287	0.660723
555	135.219	8534	0.77379
556	135.462	11370	1.03093
557	135.706	15672	1.421
558	135.950	21646	1.96267
559	136.194	28521	2.58604
560	136.438	33399	3.02834
561	136.682	35931	3.25792
562	136.926	34405	3.11955
563	137.169	29288	2.65559
564	137.413	22532	2.04301
565	137.657	16157	1.46498
566	137.901	11545	1.0468
567	138.145	8704	0.789204
568	138.389	7123	0.645853
569	138.633	6399	0.580207
570	138.876	6094	0.552552
571	139.120	6023	0.546114
572	139.364	5943	0.53886
573	139.608	5888	0.533873
574	139.852	5900	0.534962
575	140.096	5939	0.538498
576	140.340	5857	0.531063
577	140.584	6028	0.546567
578	140.827	5949	0.539404
579	141.071	6045	0.548109
580	141.315	5920	0.536775
581	141.559	5975	0.541762
