#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2025-12-17, 10:49:09
# Real time (s): 12351.430
# Live time (s): 12032.110
#
# Total counts:  23907440
#
# Left marker:  20 (4.751 keV)
# Right marker: 50 (12.067 keV)
# Counts:       455452
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: -0.126274
#     A1: 0.243864
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
611	148.875	2902	0.241188
612	149.119	2979	0.247587
613	149.363	2910	0.241853
614	149.607	3015	0.250579
615	149.850	2907	0.241604
616	150.094	2952	0.245344
617	150.338	3063	0.254569
618	150.582	2919	0.242601
619	150.826	2972	0.247006
620	151.070	2964	0.246341
621	151.314	3031	0.251909
622	151.557	3005	0.249748
623	151.801	2971	0.246923
624	152.045	2876	0.239027
625	152.289	2945	0.244762
626	152.533	2955	0.245593
627	152.777	2969	0.246756
628	153.021	2946	0.244845
629	153.264	2888	0.240024
630	153.508	2999	0.24925
631	153.752	2970	0.246839
632	153.996	2975	0.247255
633	154.240	2946	0.244845
634	154.484	2939	0.244263
635	154.728	2943	0.244596
636	154.972	2887	0.239941
637	155.215	3013	0.250413
638	155.459	2965	0.246424
639	155.703	3045	0.253073
640	155.947	3087	0.256563
641	156.191	2972	0.247006
642	156.435	2892	0.240357
643	156.679	3016	0.250663
644	156.922	2952	0.245344
645	157.166	2990	0.248502
646	157.410	2938	0.24418
647	157.654	2920	0.242684
648	157.898	3004	0.249665
649	158.142	2827	0.234955
650	158.386	2920	0.242684
651	158.630	2900	0.241022
652	158.873	2896	0.240689
653	159.117	2898	0.240856
654	159.361	3019	0.250912
655	159.605	3041	0.25274
656	159.849	3098	0.257478
657	160.093	3236	0.268947
658	160.337	3472	0.288561
659	160.580	3561	0.295958
660	160.824	3708	0.308175
661	161.068	3610	0.300031
662	161.312	3500	0.290888
663	161.556	3227	0.268199
664	161.800	3076	0.255649
665	162.044	2969	0.246756
666	162.287	2835	0.23562
667	162.531	2934	0.243848
668	162.775	2902	0.241188
669	163.019	3011	0.250247
670	163.263	2970	0.246839
671	163.507	2783	0.231298
672	163.751	2959	0.245925
673	163.995	3089	0.25673
674	164.238	3560	0.295875
675	164.482	5021	0.4173
676	164.726	8071	0.670788
677	164.970	14573	1.21118
678	165.214	25023	2.07969
679	165.458	37734	3.13611
680	165.702	52426	4.35717
681	165.945	62053	5.15728
682	166.189	63797	5.30223
683	166.433	56257	4.67557
684	166.677	43279	3.59696
685	166.921	29057	2.41495
